unit,tra_meas,destination,date,passengers
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2016-04-01,10934
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2016-04-01,17564
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2016-04-01,8850
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2016-04-01,22575
Passenger,Passengers on board (arrivals),PORTO,2016-04-01,27314
Passenger,Passengers on board (arrivals),LISBOA,2016-04-01,22551
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2016-04-01,7496
Passenger,Passengers on board (arrivals),LONDON GATWICK,2016-04-01,9267
Passenger,Passengers on board (arrivals),LONDON/CITY,2016-04-01,24439
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2016-04-01,17974
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2016-01-01,10735
Passenger,Passengers on board (arrivals),GENEVA,2016-01-01,7213
Passenger,Passengers on board (arrivals),ZURICH,2016-01-01,12256
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2016-01-01,18616
Passenger,Passengers on board (arrivals),MUENCHEN,2016-01-01,22321
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2016-01-01,6160
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2016-01-01,5102
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2016-01-01,4276
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2016-01-01,5829
Passenger,Passengers on board (arrivals),MALAGA/COSTA DEL SOL,2016-01-01,3473
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2016-01-01,2684
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2016-01-01,4694
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2016-01-01,10659
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2016-01-01,14590
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2016-01-01,5532
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2016-01-01,17335
Passenger,Passengers on board (arrivals),PORTO,2016-01-01,24946
Passenger,Passengers on board (arrivals),LISBOA,2016-01-01,15278
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2016-01-01,7777
Passenger,Passengers on board (arrivals),LONDON GATWICK,2016-01-01,8651
Passenger,Passengers on board (arrivals),LONDON/CITY,2016-01-01,20062
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2016-01-01,16120
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2015-10-01,13074
Passenger,Passengers on board (arrivals),GENEVA,2015-10-01,6852
Passenger,Passengers on board (arrivals),ZURICH,2015-10-01,15417
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2015-10-01,16064
Passenger,Passengers on board (arrivals),MUENCHEN,2015-10-01,25413
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2015-10-01,6641
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2015-10-01,8188
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2015-10-01,5066
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2015-10-01,6272
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2015-10-01,6690
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2015-10-01,4909
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2015-10-01,10220
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2015-10-01,15589
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2015-10-01,5824
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2015-10-01,18705
Passenger,Passengers on board (arrivals),PORTO,2015-10-01,25026
Passenger,Passengers on board (arrivals),LISBOA,2015-10-01,16640
Passenger,Passengers on board (arrivals),ANTALYA (MIL-CIV),2015-10-01,2779
Passenger,Passengers on board (arrivals),ISTANBUL/ATATURK,2015-10-01,8821
Passenger,Passengers on board (arrivals),LONDON GATWICK,2015-10-01,9520
Passenger,Passengers on board (arrivals),LONDON/CITY,2015-10-01,22477
Passenger,Passengers on board (arrivals),LONDON HEATHROW,2015-10-01,18982
Passenger,Passengers on board (arrivals),WIEN-SCHWECHAT,2015-07-01,12231
Passenger,Passengers on board (arrivals),GENEVA,2015-07-01,4921
Passenger,Passengers on board (arrivals),ZURICH,2015-07-01,15752
Passenger,Passengers on board (arrivals),FRANKFURT/MAIN,2015-07-01,15012
Passenger,Passengers on board (arrivals),MUENCHEN,2015-07-01,19215
Passenger,Passengers on board (arrivals),BERLIN-TEGEL,2015-07-01,7991
Passenger,Passengers on board (arrivals),KOBENHAVN/KASTRUP,2015-07-01,11486
Passenger,Passengers on board (arrivals),BARCELONA/EL PRAT,2015-07-01,13050
Passenger,Passengers on board (arrivals),ADOLFO SUAREZ MADRID-BARAJAS,2015-07-01,4203
Passenger,Passengers on board (arrivals),PALMA DE MALLORCA,2015-07-01,24266
Passenger,Passengers on board (arrivals),NICE-COTE D'AZUR,2015-07-01,8475
Passenger,Passengers on board (arrivals),PARIS-CHARLES DE GAULLE,2015-07-01,10366
Passenger,Passengers on board (arrivals),MILANO/MALPENSA,2015-07-01,15995
Passenger,Passengers on board (arrivals),ROMA/FIUMICINO,2015-07-01,8071
Passenger,Passengers on board (arrivals),AMSTERDAM/SCHIPHOL,2015-07-01,19340
